DOLIUM.

ampullaceum, Philippi ........... I. 1
Chinense (Bucc.), Chemnitz ... VI. 10
costatum, Deshayes ............ V. 8
crenulatum, Philippi .......... VII. 12
Cumingii, Hanley ............... VIII. 13
Deshayesii, Reeve .............. VIII. 15
fasciatum (Bucc.), Bruguière .. VII. 11
fimbriatum, Sowerby .......... III. 3
galea (Bucc.), Linnaeus ....... I. 1
Kieneri, Philippi .............. V. 7
latilabre, Kiener .............. IV. 5
maculatum, Lamarck ............ III. 4
marginatum, Philippi .......... III. 3

melanostoma, Jay ............... II. 2
Minjac, Adanson ................. III. 3
olearium (Bucc.), Bruguière ... VIII. 14
perdix (Bucc.), Linnaeus ....... VI. 9
plumatum, Green ................. VI. 9
pomum (Buc.), Linnaeus ....... IV. 6
ringens (Cassis), Swainson .... IV. 5
tenue, Menke ................... I. 1
tessellatum, Enc. Méth. ....... III. 3
variegatum, Lamarck ........... V. 7
variegatum, Philippi .......... VI. 10
zonatum, Green .................. VII. 12
